,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
267,-0.8426264788014821,-0.3880097642004292,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
268,0.591251474665784,1.2032539810627276,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
270,-0.48415699043466537,0.6538274110370128,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
272,-1.2010959671682988,-0.17031244400156062,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
276,-1.2010959671682988,0.7108433758510017,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
282,-0.12568750206784893,-0.04073070578794893,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
283,0.4120167304823758,1.3587520669190623,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
284,0.7704862188491928,0.7108433758510017,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
285,1.4874251955828257,1.3587520669190623,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
286,0.7704862188491928,0.43353845607387226,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
287,-1.2010959671682988,-0.7145557444987315,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
288,2.025129428133051,0.5683034638160278,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
289,0.7704862188491928,0.4724129775379551,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
290,-0.48415699043466537,-1.7771259978503515,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
291,-1.0218612229848907,-1.051468263854124,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
292,1.4874251955828257,1.1099551295489267,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
293,1.666659939766234,1.514250152775396,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
296,-0.48415699043466537,-0.9478028732832342,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
298,0.591251474665784,1.2861862935194395,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
300,-0.8426264788014821,-0.465758807128596,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
302,0.23278198629896754,0.42576355178105524,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
303,0.4120167304823758,-1.030735185739945,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
304,2.2043641723164593,1.0736722428491159,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
305,1.8458946839496422,1.086630416670477,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
306,0.23278198629896754,0.06293468478294088,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
307,0.7704862188491928,0.11476738006838579,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
